utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
4 %, 1 %, 11169 MiB, 10791 MiB, 378 MiB
4 %, 1 %, 11169 MiB, 10791 MiB, 378 MiB
4 %, 1 %, 11169 MiB, 10791 MiB, 378 MiB
4 %, 1 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
0 %, 0 %, 11169 MiB, 10791 MiB, 378 MiB
